185;21;2869.69;10.00;2003.09;0.00;1.00
310;21;2927.31;10.00;1948.65;0.00;1.00
341;21;2937.00;10.00;1962.02;0.00;1.00
677;21;809.72;10.00;1618.54;0.00;1.00
904;21;2993.57;10.00;1648.82;0.00;1.00
1239;21;3612.50;10.00;1761.63;0.00;1.00
1363;21;3453.34;10.00;1892.76;0.00;1.00
1384;21;3526.16;10.00;1603.64;0.00;1.00
1459;21;3533.93;10.00;1653.64;0.00;1.00
1464;21;4007.02;10.00;1245.92;0.00;1.00
1530;21;3175.50;10.00;1672.16;0.00;1.00
1562;21;888.09;10.00;1513.31;0.00;1.00
1563;21;4052.68;10.00;1198.50;0.00;1.00
1573;21;3464.30;10.00;1626.87;0.00;1.00
1592;21;4051.82;10.00;1193.39;0.00;1.00
1599;21;3185.05;10.00;1662.29;0.00;1.00
1614;21;3399.45;10.00;1687.38;0.00;1.00
1719;21;1227.14;10.00;1744.09;0.00;1.00
1766;21;3629.68;10.00;1617.44;0.00;1.00
1866;21;1222.60;10.00;1743.97;0.00;1.00
2042;21;1177.50;10.00;1442.08;0.00;1.00
3083;21;2866.65;10.00;2053.06;0.00;1.00
3122;21;2857.32;10.00;2116.93;0.00;1.00
3137;21;2887.86;10.00;2076.48;0.00;1.00
3151;21;2980.26;10.00;2041.51;0.00;1.00
3152;21;2900.81;10.00;2029.84;0.00;1.00
3194;21;2871.32;10.00;1978.60;0.00;1.00
3296;21;2856.79;10.00;1982.99;0.00;1.00
3320;21;2910.73;10.00;1921.20;0.00;1.00
3588;21;816.92;10.00;1662.04;0.00;1.00
3618;21;3289.18;10.00;1767.31;0.00;1.00
3658;21;3157.55;10.00;162.77;0.00;1.00
3668;21;3223.12;10.00;1686.80;0.00;1.00
3677;21;821.30;10.00;1598.18;0.00;1.00
3686;21;3026.54;10.00;1718.57;0.00;1.00
3734;21;3106.75;10.00;1727.53;0.00;1.00
3960;21;1165.56;10.00;1508.51;0.00;1.00
4075;21;4050.14;10.00;1296.58;0.00;1.00
4112;21;2934.64;10.00;1601.54;0.00;1.00
4119;21;4063.38;10.00;1293.37;0.00;1.00
4227;21;3424.72;10.00;1762.89;0.00;1.00
4294;21;3359.64;10.00;1832.81;0.00;1.00
4302;21;4024.64;10.00;1167.72;0.00;1.00
4397;21;4049.50;10.00;1256.87;0.00;1.00
4401;21;4064.43;10.00;1126.14;0.00;1.00
4473;21;3243.44;10.00;1608.07;0.00;1.00
4482;21;3433.36;10.00;1588.82;0.00;1.00
4512;21;3121.86;10.00;1592.80;0.00;1.00
4865;21;963.02;10.00;1659.44;0.00;1.00
4975;21;1038.91;10.00;1551.63;0.00;1.00
6287;21;2729.66;10.00;1945.68;0.00;1.00
6314;21;2850.87;10.00;1945.84;0.00;1.00
6332;21;2839.52;10.00;1922.83;0.00;1.00
6342;21;2885.94;10.00;1966.87;0.00;1.00
6545;21;2625.09;10.00;1808.19;0.00;1.00
6671;21;3172.25;10.00;1667.23;0.00;1.00
6681;21;811.51;10.00;1615.15;0.00;1.00
6704;21;3038.59;10.00;1719.01;0.00;1.00
6785;21;1167.92;10.00;1425.34;0.00;1.00
6794;21;3177.97;10.00;1752.96;0.00;1.00
6935;21;3164.19;10.00;1605.94;0.00;1.00
7211;21;2859.94;10.00;1598.61;0.00;1.00
7243;21;3446.88;10.00;1740.48;0.00;1.00
7376;21;4037.58;10.00;1140.09;0.00;1.00
7408;21;3978.54;10.00;1175.95;0.00;1.00
7657;21;3478.47;10.00;1723.72;0.00;1.00
7661;21;3258.17;9.50;1639.13;0.00;1.00
7708;21;3643.24;10.00;1869.88;0.00;1.00
7924;21;3453.71;10.00;1610.33;0.00;1.00
7981;21;1163.63;10.00;1505.72;0.00;1.00
9221;21;2929.19;10.00;2003.61;0.00;1.00
9262;21;2849.96;10.00;1963.44;0.00;1.00
9279;21;2735.64;10.00;1942.84;0.00;1.00
9340;21;2892.49;10.00;1972.89;0.00;1.00
9438;21;2896.11;10.00;1946.51;0.00;1.00
9483;21;2880.21;10.00;1949.89;0.00;1.00
9649;21;3170.82;10.00;1696.51;0.00;1.00
9674;21;3147.73;10.00;1710.84;0.00;1.00
9713;21;826.35;10.00;1620.43;0.00;1.00
9753;21;3233.46;10.00;1752.21;0.00;1.00
9777;21;3074.44;10.00;1624.90;0.00;1.00
9791;21;2896.37;10.00;1649.38;0.00;1.00
9893;21;3080.82;10.00;1575.68;0.00;1.00
9932;21;3112.47;10.00;1650.41;0.00;1.00
9941;21;2940.83;10.00;1576.09;0.00;1.00
9966;21;843.32;10.00;1553.84;0.00;1.00
10129;21;4049.41;10.00;1115.97;0.00;1.00
10137;21;4085.04;10.00;1211.64;0.00;1.00
10148;21;3538.25;10.00;1673.58;0.00;1.00
10337;21;1200.99;10.00;1458.98;0.00;1.00
10353;21;3487.11;10.00;1718.12;0.00;1.00
10435;21;3396.24;10.00;1677.36;0.00;1.00
10488;21;3558.21;10.00;1639.03;0.00;1.00
10496;21;3999.62;10.00;1276.93;0.00;1.00
10642;21;1052.96;10.00;1565.52;0.00;1.00
10671;21;3501.94;10.00;1623.39;0.00;1.00
10740;21;1041.66;10.00;1496.08;0.00;1.00
11105;21;2903.24;10.00;2046.85;0.00;1.00
11159;21;3037.17;10.00;2083.64;0.00;1.00
11358;21;2918.76;10.00;1951.99;0.00;1.00
11523;21;3201.48;10.00;1848.43;0.00;1.00
11537;21;3278.11;10.00;1849.60;0.00;1.00
11599;21;3134.23;10.00;1687.22;0.00;1.00
11633;21;3160.87;10.00;1706.81;0.00;1.00
11668;21;3086.26;10.00;1721.07;0.00;1.00
11674;21;3209.67;10.00;1644.08;0.00;1.00
11701;21;3276.70;10.00;1701.35;0.00;1.00
11741;21;2810.91;10.00;1704.41;0.00;1.00
11746;21;3051.31;10.00;1574.99;0.00;1.00
11811;21;2973.72;10.00;1645.58;0.00;1.00
11818;21;2875.36;10.00;1643.70;0.00;1.00
11842;21;2928.31;10.00;1664.77;0.00;1.00
11853;21;3135.87;10.00;1628.51;0.00;1.00
11881;21;3065.23;10.00;1655.27;0.00;1.00
11899;21;2808.80;10.00;1703.41;0.00;1.00
12128;21;3328.33;10.00;1859.68;0.00;1.00
12239;21;3505.92;10.00;1580.84;0.00;1.00
12320;21;3182.05;10.00;1633.69;0.00;1.00
12324;21;3399.75;10.00;1665.66;0.00;1.00
12333;21;3378.68;10.00;1593.41;0.00;1.00
12341;21;1166.67;10.00;1468.59;0.00;1.00
12397;21;3519.72;10.00;1691.07;0.00;1.00
12441;21;3173.31;10.00;1646.24;0.00;1.00
12583;21;3609.89;10.00;1684.12;0.00;1.00
12594;21;3689.43;10.00;1836.18;0.00;1.00
12640;21;3565.31;10.00;1683.42;0.00;1.00
13294;21;2927.88;10.00;1638.45;0.00;1.00
13317;21;3141.78;10.00;1661.31;0.00;1.00
13471;21;2545.11;10.00;1861.66;0.00;1.00
